FTM Agostinho Neto (MZ_FTM_1261),MZ CPF - Injectável Utentes Seguintes 20-24 yrs,,22,
FTM Agostinho Neto (MZ_FTM_1261),MZ CPF - Injectável Utentes Seguintes 25 +,,,64
FTM Agostinho Neto (MZ_FTM_1261),MZ CPF - Injectável Utentes Seguintes < 20,16,,
FTM Agostinho Neto (MZ_FTM_1261),MZ CPF - Nº de DIU 10 anos inseridos 25 +,,,1
FTM Agostinho Neto (MZ_FTM_1261),MZ CPF - Nº de ciclos distribuidos Microgynon 20-24 yrs,,37,
FTM Agostinho Neto (MZ_FTM_1261),MZ CPF - Nº de ciclos distribuidos Microgynon 25 +,,,85
FTM Agostinho Neto (MZ_FTM_1261),MZ CPF - Nº de ciclos distribuidos Microgynon < 20,43,,
FTM Agostinho Neto (MZ_FTM_1261),MZ CPF - Nº de ciclos distribuidos Microlut 20-24 yrs,,39,
FTM Agostinho Neto (MZ_FTM_1261),MZ CPF - Nº de ciclos distribuidos Microlut 25 +,,,45
FTM Agostinho Neto (MZ_FTM_1261),MZ CPF - Nº de ciclos distribuidos Microlut < 20,19,,
FTM Agostinho Neto (MZ_FTM_1261),MZ CPF - Nº de implante 5 anos inseridos 20-24 yrs,,13,
FTM Agostinho Neto (MZ_FTM_1261),MZ CPF - Nº de implante 5 anos inseridos 25 +,,,19
FTM Agostinho Neto (MZ_FTM_1261),MZ CPF - Nº de implante 5 anos inseridos < 20,25,,
FTM Agostinho Neto (MZ_FTM_1261),MZ CPF - Nº de injectavel 3 mes 20-24 yrs,,45,
FTM Agostinho Neto (MZ_FTM_1261),MZ CPF - Nº de injectavel 3 mes 25 +,,,101
FTM Agostinho Neto (MZ_FTM_1261),MZ CPF - Nº de injectavel 3 mes < 20,37,,
FTM Agostinho Neto (MZ_FTM_1261),MZ CPF - Total de utentes novas no metodo - DIU 25 +,,,1
FTM Agostinho Neto (MZ_FTM_1261),MZ CPF - Total de utentes novas no metodo - Implante 20-24 yrs,,13,
FTM Agostinho Neto (MZ_FTM_1261),MZ CPF - Total de utentes novas no metodo - Implante 25 +,,,19
FTM Agostinho Neto (MZ_FTM_1261),MZ CPF - Total de utentes novas no metodo - Implante < 20,25,,
FTM Agostinho Neto (MZ_FTM_1261),MZ CPF - Total de utentes novas no metodo - Injectavel 20-24 yrs,,23,
FTM Agostinho Neto (MZ_FTM_1261),MZ CPF - Total de utentes novas no metodo - Injectavel 25 +,,,37
FTM Agostinho Neto (MZ_FTM_1261),MZ CPF - Total de utentes novas no metodo - Injectavel < 20,21,,
FTM Agostinho Neto (MZ_FTM_1261),MZ CPF - Total de utentes novas no metodo - Pilula 20-24 yrs,,44,
FTM Agostinho Neto (MZ_FTM_1261),MZ CPF - Total de utentes novas no metodo - Pilula 25 +,,,65
FTM Agostinho Neto (MZ_FTM_1261),MZ CPF - Total de utentes novas no metodo - Pilula < 20,41,,
FTM Agostinho Neto (MZ_FTM_1261),MZ CPF - Utentes com Seroestado Desconhecido 20-24 yrs,,99,
FTM Agostinho Neto (MZ_FTM_1261),MZ CPF - Utentes com Seroestado Desconhecido 25 +,,,79
FTM Agostinho Neto (MZ_FTM_1261),MZ CPF - Utentes com Seroestado Desconhecido < 20,98,,
FTM Agostinho Neto (MZ_FTM_1261),MZ CPF - Utentes com Seroestado HIV+ a entrada 20-24 yrs,,3,
FTM Agostinho Neto (MZ_FTM_1261),MZ CPF - Utentes com Seroestado HIV+ a entrada 25 +,,,4
FTM Agostinho Neto (MZ_FTM_1261),MZ CPF - Utentes que continuam o metodo - Pilula 20-24 yrs,,15,
FTM Agostinho Neto (MZ_FTM_1261),MZ CPF - Utentes que continuam o metodo - Pilula 25 +,,,20
FTM Agostinho Neto (MZ_FTM_1261),MZ CPF - Utentes que continuam o metodo - Pilula < 20,12,,
FTM Anchilo (MZ_FTM_1230),MZ CPF - Injectável Utentes Seguintes 20-24 yrs,,188,
FTM Anchilo (MZ_FTM_1230),MZ CPF - Injectável Utentes Seguintes 25 +,,,75
FTM Anchilo (MZ_FTM_1230),MZ CPF - Injectável Utentes Seguintes < 20,113,,
FTM Anchilo (MZ_FTM_1230),MZ CPF - Nº de DIU 10 anos inseridos 20-24 yrs,,7,
FTM Anchilo (MZ_FTM_1230),MZ CPF - Nº de DIU 10 anos inseridos 25 +,,,7
FTM Anchilo (MZ_FTM_1230),MZ CPF - Nº de ciclos distribuidos Microgynon 20-24 yrs,,71,
FTM Anchilo (MZ_FTM_1230),MZ CPF - Nº de ciclos distribuidos Microgynon 25 +,,,51
FTM Anchilo (MZ_FTM_1230),MZ CPF - Nº de ciclos distribuidos Microgynon < 20,81,,
FTM Anchilo (MZ_FTM_1230),MZ CPF - Nº de ciclos distribuidos Microlut 20-24 yrs,,39,
FTM Anchilo (MZ_FTM_1230),MZ CPF - Nº de ciclos distribuidos Microlut 25 +,,,35
FTM Anchilo (MZ_FTM_1230),MZ CPF - Nº de ciclos distribuidos Microlut < 20,24,,
FTM Anchilo (MZ_FTM_1230),MZ CPF - Nº de implante 5 anos inseridos 20-24 yrs,,17,
FTM Anchilo (MZ_FTM_1230),MZ CPF - Nº de implante 5 anos inseridos 25 +,,,15
FTM Anchilo (MZ_FTM_1230),MZ CPF - Nº de implante 5 anos inseridos < 20,3,,
FTM Anchilo (MZ_FTM_1230),MZ CPF - Nº de injectavel 3 mes 20-24 yrs,,250,
FTM Anchilo (MZ_FTM_1230),MZ CPF - Nº de injectavel 3 mes 25 +,,,100
FTM Anchilo (MZ_FTM_1230),MZ CPF - Nº de injectavel 3 mes < 20,150,,
FTM Anchilo (MZ_FTM_1230),MZ CPF - Total de utentes novas no metodo - DIU 20-24 yrs,,7,
FTM Anchilo (MZ_FTM_1230),MZ CPF - Total de utentes novas no metodo - DIU 25 +,,,7
FTM Anchilo (MZ_FTM_1230),MZ CPF - Total de utentes novas no metodo - Implante 20-24 yrs,,17,
FTM Anchilo (MZ_FTM_1230),MZ CPF - Total de utentes novas no metodo - Implante 25 +,,,15
FTM Anchilo (MZ_FTM_1230),MZ CPF - Total de utentes novas no metodo - Implante < 20,3,,
FTM Anchilo (MZ_FTM_1230),MZ CPF - Total de utentes novas no metodo - Injectavel 20-24 yrs,,62,
FTM Anchilo (MZ_FTM_1230),MZ CPF - Total de utentes novas no metodo - Injectavel 25 +,,,25
FTM Anchilo (MZ_FTM_1230),MZ CPF - Total de utentes novas no metodo - Injectavel < 20,37,,
FTM Anchilo (MZ_FTM_1230),MZ CPF - Total de utentes novas no metodo - Pilula 20-24 yrs,,36,
FTM Anchilo (MZ_FTM_1230),MZ CPF - Total de utentes novas no metodo - Pilula 25 +,,,28
FTM Anchilo (MZ_FTM_1230),MZ CPF - Total de utentes novas no metodo - Pilula < 20,22,,
FTM Anchilo (MZ_FTM_1230),MZ CPF - Utentes com Seroestado Desconhecido 20-24 yrs,,22,
FTM Anchilo (MZ_FTM_1230),MZ CPF - Utentes com Seroestado Desconhecido 25 +,,,86
FTM Anchilo (MZ_FTM_1230),MZ CPF - Utentes com Seroestado Desconhecido < 20,12,,
FTM Anchilo (MZ_FTM_1230),MZ CPF - Utentes que continuam o metodo - Pilula 20-24 yrs,,53,
FTM Anchilo (MZ_FTM_1230),MZ CPF - Utentes que continuam o metodo - Pilula 25 +,,,48
FTM Anchilo (MZ_FTM_1230),MZ CPF - Utentes que continuam o metodo - Pilula < 20,63,,
FTM Bilene Macia (MZ_FTM_1238),MZ CPF - Injectável Utentes Seguintes 20-24 yrs,,9,
FTM Bilene Macia (MZ_FTM_1238),MZ CPF - Injectável Utentes Seguintes 25 +,,,11
FTM Bilene Macia (MZ_FTM_1238),MZ CPF - Injectável Utentes Seguintes < 20,8,,
FTM Bilene Macia (MZ_FTM_1238),MZ CPF - Nº de ciclos distribuidos Microgynon 20-24 yrs,,66,
FTM Bilene Macia (MZ_FTM_1238),MZ CPF - Nº de ciclos distribuidos Microgynon 25 +,,,56
FTM Bilene Macia (MZ_FTM_1238),MZ CPF - Nº de ciclos distribuidos Microgynon < 20,56,,
FTM Bilene Macia (MZ_FTM_1238),MZ CPF - Nº de ciclos distribuidos Microlut 20-24 yrs,,55,
FTM Bilene Macia (MZ_FTM_1238),MZ CPF - Nº de ciclos distribuidos Microlut 25 +,,,53
FTM Bilene Macia (MZ_FTM_1238),MZ CPF - Nº de ciclos distribuidos Microlut < 20,6,,
FTM Bilene Macia (MZ_FTM_1238),MZ CPF - Nº de implante 5 anos inseridos 20-24 yrs,,4,
FTM Bilene Macia (MZ_FTM_1238),MZ CPF - Nº de implante 5 anos inseridos 25 +,,,4
FTM Bilene Macia (MZ_FTM_1238),MZ CPF - Nº de implante 5 anos inseridos < 20,7,,
FTM Bilene Macia (MZ_FTM_1238),MZ CPF - Nº de injectavel 3 mes 20-24 yrs,,12,
FTM Bilene Macia (MZ_FTM_1238),MZ CPF - Nº de injectavel 3 mes 25 +,,,23
FTM Bilene Macia (MZ_FTM_1238),MZ CPF - Nº de injectavel 3 mes < 20,11,,
FTM Bilene Macia (MZ_FTM_1238),MZ CPF - Total de utentes novas no metodo - Implante 20-24 yrs,,4,
FTM Bilene Macia (MZ_FTM_1238),MZ CPF - Total de utentes novas no metodo - Implante 25 +,,,4
FTM Bilene Macia (MZ_FTM_1238),MZ CPF - Total de utentes novas no metodo - Implante < 20,7,,
FTM Bilene Macia (MZ_FTM_1238),MZ CPF - Total de utentes novas no metodo - Injectavel 20-24 yrs,,3,
FTM Bilene Macia (MZ_FTM_1238),MZ CPF - Total de utentes novas no metodo - Injectavel 25 +,,,12
FTM Bilene Macia (MZ_FTM_1238),MZ CPF - Total de utentes novas no metodo - Injectavel < 20,3,,
FTM Bilene Macia (MZ_FTM_1238),MZ CPF - Total de utentes novas no metodo - Pilula 20-24 yrs,,34,
FTM Bilene Macia (MZ_FTM_1238),MZ CPF - Total de utentes novas no metodo - Pilula 25 +,,,42
FTM Bilene Macia (MZ_FTM_1238),MZ CPF - Total de utentes novas no metodo - Pilula < 20,10,,
FTM Bilene Macia (MZ_FTM_1238),MZ CPF - Utentes com Seroestado Desconhecido 20-24 yrs,,10,
FTM Bilene Macia (MZ_FTM_1238),MZ CPF - Utentes com Seroestado Desconhecido 25 +,,,15
FTM Bilene Macia (MZ_FTM_1238),MZ CPF - Utentes com Seroestado Desconhecido < 20,10,,
FTM Bilene Macia (MZ_FTM_1238),MZ CPF - Utentes com Seroestado HIV+ a entrada 20-24 yrs,,2,
FTM Bilene Macia (MZ_FTM_1238),MZ CPF - Utentes com Seroestado HIV+ a entrada 25 +,,,4
FTM Bilene Macia (MZ_FTM_1238),MZ CPF - Utentes com Seroestado HIV+ a entrada < 20,1,,
FTM Bilene Macia (MZ_FTM_1238),MZ CPF - Utentes que continuam o metodo - Pilula 20-24 yrs,,61,
FTM Bilene Macia (MZ_FTM_1238),MZ CPF - Utentes que continuam o metodo - Pilula 25 +,,,58
FTM Bilene Macia (MZ_FTM_1238),MZ CPF - Utentes que continuam o metodo - Pilula < 20,52,,
FTM Bilene Macia (MZ_FTM_1238),MZ CPF - Total de utentes novas no método - Sayana (Enfermeira),2,,
FTM Bilene Macia (MZ_FTM_1238),MZ CPF - N? de Sayana Press distribuido pela PSC Tem Mais+,21,43,34
FTM Bilene Macia (MZ_FTM_1238),MZ CPF - N? de Sayana Press distribuido pela Enfermeira,2,,
FTM Chaimite (MZ_FTM_1249),MZ CPF - Injectável Utentes Seguintes 20-24 yrs,,38,
FTM Chaimite (MZ_FTM_1249),MZ CPF - Injectável Utentes Seguintes 25 +,,,78
FTM Chaimite (MZ_FTM_1249),MZ CPF - Injectável Utentes Seguintes < 20,25,,
